[LOG] System::create                           : Header version = 1.10.13. Current version = 1.10.13.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11013 (102169), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 11.61ms, period: 10.16ms, DSP buffer: 1024 * 4
[WRN] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000000004BF70DC8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] SoundI::release                          :  (0000000034023748)
[LOG] SoundI::release                          :     cmf_pink_music_transition2 (0000000048A68AB8)
[LOG] SoundI::release                          :  (00000000311579E8)
[LOG] SoundI::release                          :     cmf_pink_music_transition1 (0000000048A69618)
[LOG] SoundI::release                          :  (0000000034023FE8)
[LOG] SoundI::release                          :     AVA - Instinct - Downer - Heavy Duty (0000000048A692D8)
[LOG] SoundI::release                          :  (00000000340238B8)
[LOG] SoundI::release                          :     cmf_pink_music_dissonance_idle (0000000048A68DF8)
[LOG] SoundI::release                          :  (0000000034024158)
[LOG] SoundI::release                          :     cmf_pink_music_dissonance (0000000048A69478)
[LOG] SoundI::release                          :  (0000000034023E78)
[LOG] SoundI::release                          :     cmf_pink_music_fight (0000000048A69138)
[LOG] SoundI::release                          :  (0000000031157B58)
[LOG] SoundI::release                          :     cmf_pink_music_fight_idle (00000000494460B8)
[LOG] SoundI::release                          :  (0000000031157CC8)
[LOG] SoundI::release                          :     cmf_pink_music_intro (0000000049446258)
[LOG] SoundI::release                          :  (0000000034023A28)
[LOG] SoundI::release                          :     GDYN - ETS2 - Pummel (0000000048A68F98)
[LOG] SoundI::release                          :  (0000000049498B58)
[LOG] SoundI::release                          :     crash1 (0000000032F75538)
[LOG] SoundI::release                          :  (000000003A8F8AF8)
[LOG] SoundI::release                          :     practice_kick (0000000049896438)
[LOG] SoundI::release                          :  (0000000043BBF028)
[LOG] SoundI::release                          :     asian_shwing1 (00000000498953F8)
[LOG] SoundI::release                          :  (000000003D403B78)
[LOG] SoundI::release                          :     attack_pill_4_C (00000000314FFBE8)
[LOG] SoundI::release                          :  (0000000031158288)
[LOG] SoundI::release                          :     attack_pill_3_A (00000000494468D8)
[LOG] SoundI::release                          :  (000000003DEE87B8)
[LOG] SoundI::release                          :     attack_pill_3_E (0000000031500C28)
[LOG] SoundI::release                          :  (000000003D4046F8)
[LOG] SoundI::release                          :     attack_pill_3_A#Bb (00000000315008E8)
[LOG] SoundI::release                          :  (0000000031157FA8)
[LOG] SoundI::release                          :     attack_pill_3_F#Gb (0000000049446598)
[LOG] SoundI::release                          :  (00000000392F8348)
[LOG] SoundI::release                          :     attack_pill_3_F (00000000422A7F08)
[LOG] SoundI::release                          :  (000000003D404138)
[LOG] SoundI::release                          :     attack_pill_3_B (0000000031500268)
[LOG] SoundI::release                          :  (00000000494989E8)
[LOG] SoundI::release                          :     attack_pill_3_G (0000000032F75398)
[LOG] SoundI::release                          :  (000000003D4042A8)
[LOG] SoundI::release                          :     attack_pill_3_C (0000000031500408)
[LOG] SoundI::release                          :  (00000000392F7EF8)
[LOG] SoundI::release                          :     attack_pill_3_D#Eb (00000000422A7A28)
[LOG] SoundI::release                          :  (0000000043BBF758)
[LOG] SoundI::release                          :     attack_pill_3_G#Ab (0000000049895C18)
[LOG] SoundI::release                          :  (0000000043BBF308)
[LOG] SoundI::release                          :     attack_pill_3_C#Db (0000000049895738)
[LOG] SoundI::release                          :  (000000003B0EB9C8)
[LOG] SoundI::release                          :     attack_pill_3_D (00000000422A8C08)
[LOG] SoundI::release                          :  (000000003A8F8DD8)
[LOG] SoundI::release                          :     HitEnemy (0000000049896778)
[LOG] SoundI::release                          :  (000000003DEE8A98)
[LOG] SoundI::release                          :     trance_kick2_short (0000000031500F68)
[LOG] SoundI::release                          :  (00000000392F81D8)
[LOG] SoundI::release                          :     PlayerWhiff (00000000422A7D68)
[LOG] SoundI::release                          :  (00000000392F8628)
[LOG] SoundI::release                          :     Parry (00000000422A8248)
[LOG] SoundI::release                          :  (000000003A8F9228)
[LOG] SoundI::release                          :     HealSound (0000000049896C58)
[LOG] SoundI::release                          :  (00000000392F84B8)
[LOG] SoundI::release                          :     attack_melody_5_F#Gb (00000000422A80A8)
[LOG] SoundI::release                          :  (000000003B0EBCA8)
[LOG] SoundI::release                          :     attack_melody_5_B (00000000422A8F48)
[LOG] SoundI::release                          :  (0000000031158568)
[LOG] SoundI::release                          :     attack_melody_5_D#Eb (0000000049446C18)
[LOG] SoundI::release                          :  (000000003DEE8D78)
[LOG] SoundI::release                          :     attack_melody_5_E (00000000315012A8)
[LOG] SoundI::release                          :  (0000000043BBED48)
[LOG] SoundI::release                          :     attack_melody_5_D (00000000498950B8)
[LOG] SoundI::release                          :  (0000000049498598)
[LOG] SoundI::release                          :     attack_melody_4_B (0000000032F74EB8)
[LOG] SoundI::release                          :  (0000000049498CC8)
[LOG] SoundI::release                          :     attack_melody_5_C (0000000032F756D8)
[LOG] SoundI::release                          :  (00000000392F7C18)
[LOG] SoundI::release                          :     attack_melody_5_F (00000000422A76E8)
[LOG] SoundI::release                          :  (000000003B0EB408)
[LOG] SoundI::release                          :     attack_melody_4_F (00000000422A8588)
[LOG] SoundI::release                          :  (000000003B0EB858)
[LOG] SoundI::release                          :     attack_melody_4_G (00000000422A8A68)
[LOG] SoundI::release                          :  (000000003DEE9058)
[LOG] SoundI::release                          :     attack_melody_4_C (00000000315015E8)
[LOG] SoundI::release                          :  (0000000043BBF5E8)
[LOG] SoundI::release                          :     attack_melody_4_A (0000000049895A78)
[LOG] SoundI::release                          :  (000000003B0EBB38)
[LOG] SoundI::release                          :     attack_melody_4_D (00000000422A8DA8)
[LOG] SoundI::release                          :  (000000003D404868)
[LOG] SoundI::release                          :     attack_melody_5_G (0000000031500A88)
[LOG] SoundI::release                          :  (00000000392F7D88)
[LOG] SoundI::release                          :     attack_melody_5_A#Bb (00000000422A7888)
[LOG] SoundI::release                          :  (000000003A8F9508)
[LOG] SoundI::release                          :     attack_melody_4_A#Bb (00000000422A73A8)
[LOG] SoundI::release                          :  (000000003B0EB6E8)
[LOG] SoundI::release                          :     attack_melody_5_G#Ab (00000000422A88C8)
[LOG] SoundI::release                          :  (000000003B0EC0F8)
[LOG] SoundI::release                          :     attack_melody_4_C#Db (0000000032F74B78)
[LOG] SoundI::release                          :  (000000003B0EBF88)
[LOG] SoundI::release                          :     attack_melody_4_D#Eb (0000000032F749D8)
[LOG] SoundI::release                          :  (000000003D404588)
[LOG] SoundI::release                          :     attack_melody_4_G#Ab (0000000031500748)
[LOG] SoundI::release                          :  (000000003A8F90B8)
[LOG] SoundI::release                          :     attack_melody_5_C#Db (0000000049896AB8)
[LOG] SoundI::release                          :  (0000000049499118)
[LOG] SoundI::release                          :     attack_melody_4_E (0000000032F75BB8)
[LOG] SoundI::release                          :  (00000000392F8798)
[LOG] SoundI::release                          :     attack_melody_4_F#Gb (00000000422A83E8)
[LOG] SoundI::release                          :  (000000003B0EB578)
[LOG] SoundI::release                          :     attack_melody_5_A (00000000422A8728)
[LOG] SoundI::release                          :  (000000003D403FC8)
[LOG] SoundI::release                          :     parry_melody_5_A#Bb (00000000315000C8)
[LOG] SoundI::release                          :  (0000000049498428)
[LOG] SoundI::release                          :     parry_melody_4_F#Gb (0000000032F74D18)
[LOG] SoundI::release                          :  (0000000049498708)
[LOG] SoundI::release                          :     parry_melody_5_A (0000000032F75058)
[LOG] SoundI::release                          :  (000000003A8F8C68)
[LOG] SoundI::release                          :     parry_melody_4_C (00000000498965D8)
[LOG] SoundI::release                          :  (00000000311583F8)
[LOG] SoundI::release                          :     parry_melody_4_A (0000000049446A78)
[LOG] SoundI::release                          :  (00000000392F7AA8)
[LOG] SoundI::release                          :     parry_melody_4_G#Ab (00000000422A7548)
[LOG] SoundI::release                          :  (0000000031157E38)
[LOG] SoundI::release                          :     parry_melody_5_E (00000000494463F8)
[LOG] SoundI::release                          :  (0000000043BBF8C8)
[LOG] SoundI::release                          :     parry_melody_5_D#Eb (0000000049895DB8)
[LOG] SoundI::release                          :  (0000000043BBF478)
[LOG] SoundI::release                          :     parry_melody_5_F (00000000498958D8)
[LOG] SoundI::release                          :  (0000000031158118)
[LOG] SoundI::release                          :     parry_melody_4_G (0000000049446738)
[LOG] SoundI::release                          :  (000000003DEE8C08)
[LOG] SoundI::release                          :     parry_melody_5_D (0000000031501108)
[LOG] SoundI::release                          :  (000000003DEE8928)
[LOG] SoundI::release                          :     parry_melody_5_G (0000000031500DC8)
[LOG] SoundI::release                          :  (000000003A8F8988)
